medaltblxtra.country,medaltblxtra.code,medaltblxtra.bronze_cnt,medaltblxtra.gold_cnt,medaltblxtra.silver_cnt,medaltblxtra.ling_fract,medaltblxtra.relig_fract,medaltblxtra.ethnic_fract
Afghanistan,AFG,0,0,0,0.614099979401,0.271699994802,0.769299983978
Albania,ALB,0,0,0,0.0399000011384,0.471899986267,0.220400005579
Andorra,AND,0,0,0,0.684800028801,0.232600003481,0.713900029659
Argentina,ARG,0,21,1,0.0617999993265,0.223600000143,0.254999995232
Armenia,ARM,0,1,3,0.129099994898,0.45759999752,0.127200007439
Australia,AUS,25,23,30,0.334899991751,0.821099996567,0.0929000005126
Australia,AUS,25,23,34,0.334899991751,0.821099996567,0.0929000005126
Austria,AUT,2,0,0,0.152199998498,0.414600014687,0.106799997389
Azerbaijan,AZE,10,1,7,0.205400004983,0.489899992943,0.204699993134
Azerbaijan,AZE,10,1,7,0.205400004983,0.489899992943,0.204699993134
Belarus,BLR,7,1,4,0.466600000858,0.611599981785,0.322200000286
Belarus,BLR,7,1,4,0.466600000858,0.611599981785,0.322200000286
Belgium,BEL,2,2,17,0.540899991989,0.212699994445,0.555400013924
Belgium,BEL,2,2,17,0.540899991989,0.212699994445,0.555400013924
Benin,BEN,0,0,0,0.790499985218,0.554400026798,0.78719997406
Bolivia,BOL,0,0,0,0.224000006914,0.208499997854,0.739600002766
Brazil,BRA,6,37,6,0.0467999987304,0.605400025845,0.540799975395
Brazil,BRA,6,37,8,0.0467999987304,0.605400025845,0.540799975395
Burundi,BDI,0,0,1,0.297699987888,0.515799999237,0.295100003481
Cameroon,CMR,0,0,0,0.889800012112,0.733799993992,0.863499999046
Canada,CAN,61,4,4,0.577199995518,0.69580000639,0.712400019169
Canada,CAN,61,4,4,0.577199995518,0.69580000639,0.712400019169
China,CHN,37,38,26,0.132699996233,0.664300024509,0.15379999578
China,CHN,37,46,30,0.132699996233,0.664300024509,0.15379999578
Colombia,COL,3,3,2,0.0193000007421,0.147799998522,0.601400017738
Colombia,COL,3,3,2,0.0193000007421,0.147799998522,0.601400017738
Comoros,COM,0,0,0,0.0103000001982,0.0137000000104,0.0
Cuba,CUB,4,5,2,0.0,0.505900025368,0.590799987316
Cuba,CUB,4,5,2,0.0,0.505900025368,0.590799987316
Cyprus,CYP,0,0,0,0.39620000124,0.39620000124,0.0939000025392
Djibouti,DJI,0,0,0,0.655799984932,0.0434999987483,0.796199977398
Dominica,DMA,0,0,0,0.0,0.462799996138,0.200299993157
Ecuador,ECU,0,0,0,0.130799993873,0.141699999571,0.65499997139
Egypt,EGY,3,0,0,0.0237000007182,0.197899997234,0.183599993587
Eritrea,ERI,0,0,0,0.652999997139,0.425300002098,0.652400016785
Estonia,EST,4,0,0,0.494399994612,0.49849998951,0.506200015545
Ethiopia,ETH,5,1,2,0.807299971581,0.624899983406,0.723500013351
Ethiopia,ETH,5,1,2,0.807299971581,0.624899983406,0.723500013351
Finland,FIN,1,0,0,0.141200006008,0.253100007772,0.131500005722
France,FRA,21,20,52,0.122100003064,0.402900010347,0.103200003505
France,FRA,21,20,54,0.122100003064,0.402900010347,0.103200003505
Gabon,GAB,0,0,0,0.782100021839,0.66740000248,0.768999993801
Georgia,GEO,4,2,1,0.474900007248,0.654299974442,0.492300003767
Georgia,GEO,4,2,1,0.474900007248,0.654299974442,0.492300003767
Ghana,GHA,0,0,0,0.673099994659,0.798699975014,0.673300027847
Guam,GUM,0,0,0,0.731999993324,0.408199995756,0.0
Guyana,GUY,0,0,0,0.0688000023365,0.787599980831,0.619499981403
Hungary,HUN,7,4,3,0.0296999998391,0.524399995804,0.152199998498
